Timestamp PowerL,PowerR, Heading,Distance,DriveSpeed,TurnSpeed,FrontRange,StageNumber,StageDistance,TargetScore,TargetX,TargetY,
1516109793454,0.20728756984074911,-0.19166256984074911,0.02068125,0.0,0.0,0.275,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793475,0.2177862524986267,-0.2021612524986267,0.019262500000000002,0.0,0.0,-0.1875,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793494,0.24140830834706625,-0.22578330834706625,0.022231250000000004,0.0,0.0,0.1,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793514,0.24928232034047446,-0.23365732034047446,0.028981250000000004,0.0,0.0,0.8,0.0,0,0.0,0.0,-320.0,-200.0,
1516109793552,0.25978100299835205,-0.24415600299835205,0.12813125,-0.19284075,-3.4022257551669317,4.825,0.0,0,-0.19284075,0.0,-320.0,-200.0,
1516109793560,0.27552902698516846,-0.25990402698516846,0.18114375000000002,-0.2047445,-1.2932533000162965,7.8375,0.0,0,-0.2047445,0.0,-320.0,-200.0,
1516109793574,0.28340305884679157,-0.26777805884679157,0.32506875,-0.2142675,-0.7336897901322075,11.0875,0.0,0,-0.21664825000000001,0.0,-320.0,-200.0,
1516109793594,0.28340305884679157,-0.26777805884679157,0.5782875000000001,-0.266644,-3.277351412740476,15.700000000000001,0.0,0,-0.26902475,0.0,-320.0,-200.0,
1516109793617,0.28340305884679157,-0.26777805884679157,0.974125,-0.34044725000000003,-3.171479002231325,19.2375,0.0,0,-0.34044725000000003,0.0,-320.0,-200.0,
1516109793636,0.28340305884679157,-0.26777805884679157,1.4099062500000001,-0.41663125,-4.353470936478548,23.6,0.0,0,-0.41663125,0.0,-320.0,-200.0,
1516109793655,0.25978100299835205,-0.24415600299835205,1.8672187500000001,-0.49757675,-4.9657150306348585,27.1,0.0,0,-0.4999575,0.0,-320.0,-200.0,
1516109793675,0.2256602644920349,-0.2100352644920349,2.438375,-0.59280675,-4.274908535901062,30.137500000000003,0.0,0,-0.5951875,0.0,-320.0,-200.0,
1516109793705,0.16529281934102377,-0.14966781934102377,3.3708500000000003,-0.733271,-4.469318315147249,31.725,0.0,0,-0.73565175,0.0,-320.0,-200.0,
1516109793715,0.10492536425590515,-0.08930036425590515,3.7057250000000006,-0.780886,-3.745452400149457,32.0625,0.0,0,-0.78326675,0.0,-320.0,-200.0,
1516109793741,0.013061843812465668,0.0025631561875343323,4.59078125,-0.8046935000000001,-1.2769181259888975,32.3125,0.0,0,-0.8046935000000001,0.0,-320.0,-200.0,
1516109793755,0.0078125,0.0078125,4.97300625,-0.8546892500000001,-4.738400298544596,31.700000000000003,0.0,0,-0.8546892500000001,0.0,-320.0,-200.0,
